[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 3, Distance: 579, Angle: -1694, SNR: 0, Speed: -85
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 4, Distance: 723, Angle: -7104, SNR: 0, Speed: 72
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 2, Distance: 762, Angle: -3569, SNR: 0, Speed: 68
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 3, Distance: 46, Angle: -5431, SNR: 0, Speed: -96
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 3, Distance: 64, Angle: -437, SNR: 0, Speed: -73
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 2, Distance: 145, Angle: -3729, SNR: 0, Speed: 78
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 152, Angle: 125, SNR: 0, Speed: -105
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 4, Distance: 312, Angle: -4057, SNR: 0, Speed: 71
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 3, Distance: 437, Angle: -1039, SNR: 0, Speed: -98
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 474, Angle: -2055, SNR: 0, Speed: 94
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 516, Angle: -657, SNR: 0, Speed: -77
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 4, Distance: 581, Angle: -1116, SNR: 0, Speed: -85
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 4, Distance: 717, Angle: -7008, SNR: 0, Speed: 72
[2017-03-28 15:40:00.596] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 3, Distance: 760, Angle: -1646, SNR: 0, Speed: 68
[2017-03-28 15:40:00.696] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.696] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 28, Angle: -4205, SNR: 0, Speed: -72
